rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
9787,51d4b643-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle BOEBLINGEN OTTO-LILIENTHAL-STR. 24,Supermarkt-Tankstelle,BOEBLINGEN,71034,diesel,Diesel,59.82,66.426,93.533,19.501,2.249,6.0,3.0,0.0,4.0,4.0,4.0,1
9788,005056ba-7cb6-1ed2-bceb-8f11d216cd35,star Tankstelle,STAR,Berlin,13051,e10,E10,59.814,66.982,42.706,69.754,2.159,12.0,2.0,4.0,7.0,14.0,14.0,1
9788,005056ba-7cb6-1ed2-bceb-91906e8e8d35,star Tankstelle,STAR,Neuss,41472,e10,E10,59.814,66.982,42.706,69.754,2.159,12.0,2.0,14.0,14.0,14.0,14.0,1
9788,005056ba-7cb6-1ed2-bceb-9326bdff0d38,star Tankstelle,STAR,Berlin,10315,e10,E10,59.814,66.982,42.706,69.754,2.159,12.0,2.0,13.0,13.0,14.0,14.0,1
9788,005056ba-7cb6-1ed2-bceb-9f68394dcd3d,star Tankstelle,STAR,Berlin,13053,e10,E10,59.814,66.982,42.706,69.754,2.159,12.0,2.0,4.0,8.0,14.0,14.0,1
9788,005056ba-7cb6-1ed5-a6a1-930ae49a5411,star Tankstelle,STAR,Berlin,13088,e10,E10,59.814,66.982,42.706,69.754,2.159,12.0,2.0,4.0,7.0,14.0,14.0,1
9788,005056ba-7cb6-1ed5-b4ff-3c304f8bcda6,star Tankstelle,STAR,Berlin,13057,e10,E10,59.814,66.982,42.706,69.754,2.159,12.0,2.0,4.0,7.0,14.0,14.0,1
9794,73fde8b5-95a9-47b2-994a-0f056c05351f,AVIA Tankstelle,AVIA,Riedlingen,88499,e5,E5,59.808,81.829,86.178,11.416,2.199,8.0,4.0,0.0,5.0,5.0,5.0,1
9795,f395620d-d62d-43f8-9ae5-4a9265533f52,AVIA XPress,AVIA XPress,Wanfried,37281,e10,E10,59.805,88.828,42.706,47.881,2.129,12.0,2.0,2.0,4.0,8.0,8.0,1
9795,51d4b59d-a095-1aa0-e100-80009459e03a,JET FULDA LEIPZIGER STR. 74,JET,FULDA,36037,e5,E5,59.805,74.929,78.383,26.103,2.209,9.0,3.0,0.0,2.0,6.0,6.0,1
9797,21d8e11f-5712-4d00-81aa-100887b65699,Münster,Mr. Wash Autoservice AG,Münster,48153,diesel,Diesel,59.803,86.449,3.38,89.581,2.209,19.0,1.0,15.0,22.0,24.0,24.0,1
9798,c88083d6-c20c-4dc0-73bf-b8b902c0f986,TAS Wennigsen,TAS,Wennigsen,30974,e5,E5,59.802,81.829,10.558,87.018,2.199,15.0,1.0,2.0,15.0,15.0,15.0,1
9798,247a9900-5c05-4949-9ae3-ae5de0668265,SB-Tank am HIT,SB-Tank am HIT (Mundorf Tank),Eschweiler,52249,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,4.0,9.0,9.0,1
9798,51d4b48d-a095-1aa0-e100-80009459e03a,JET DOSSENHEIM BERGSTR. 31,JET,DOSSENHEIM,69221,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,9.0,9.0,9.0,1
9798,51d4b4bf-a095-1aa0-e100-80009459e03a,JET DIETZENBACH ELISABETH-SELBERT-STR. 1,JET,DIETZENBACH,63128,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,7.0,9.0,9.0,1
9798,51d4b5b7-a095-1aa0-e100-80009459e03a,JET BAD URACH STUTTGARTER STR. 141,JET,BAD URACH,72574,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,8.0,9.0,9.0,1
9798,51d4b65f-a095-1aa0-e100-80009459e03a,JET NECKARTENZLINGEN SCHLEIERAECKER 1,JET,NECKARTENZLINGEN,72654,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,8.0,9.0,9.0,1
9798,51dcba22-11aa-4bc3-8534-8821508c9b60,Tank-Center,Frei,Greven,48268,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,3.0,9.0,9.0,1
9798,bf62d99f-4d7b-45f0-8059-cbbb723d2f78,JET GIENGEN FROSTELSTR. 2,JET,GIENGEN,89537,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,7.0,9.0,9.0,1
9798,fa3a1421-829f-4aa4-8a55-3d3471443f0e,Sprint Gardelegen Letzlinger Landstr.,Sprint,Gardelegen,39638,diesel,Diesel,59.802,75.75,75.642,28.013,2.239,11.0,3.0,0.0,4.0,9.0,10.0,1
9807,c84830c2-f9b4-4213-9d58-1a22a1a3b0f4,Walther Tankstelle,bft - Walther,Hof,95030,e5,E5,59.799,87.345,24.803,67.25,2.189,14.0,2.0,3.0,7.0,13.0,15.0,1
