rank,station_uuid,name,brand,city,post_code,street,house_number,fuels,fuel_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_noon_price_eur_l,avg_span_cents,median_first_markdown_hour_after_12,avg_markdown_by_16_cents,avg_markdown_by_18_cents,avg_markdown_by_22_cents,min_cycle_days,award_tier,award_label,award_top_percent
7353,cae3639b-3209-498b-a485-8dcd1980cbd5,TotalEnergies Rathenow,TotalEnergies,Rathenow,14712,Genthiner Str.,59,diesel|e10|e5,3,43.228,43.339,48.999,37.346,2.226,12.33,4.0,5.0,11.0,11.67,1,,,
7353,812ac30d-163a-482a-9290-36b1bc01106a,"bft-Tankstelle FTB, Apolda",bft,Apolda,99510,Gramonter Str.,6,diesel|e10|e5,3,43.228,4.725,41.102,83.857,2.256,13.0,1.0,13.67,14.33,15.67,1,,,
7358,63b975a2-065b-4c4f-8c03-d65e10c02ee2,FUERTH - VACHER STRASSE 417,AGIP ENI,Fuerth,90768,Vacher Strasse,417,diesel|e10|e5,3,43.226,62.134,66.072,1.471,2.199,11.0,,0.0,0.0,0.0,1,,,
7358,d2f097c6-08b3-41bc-a6c8-b97743d12a8f,ENI,AGIP ENI,München,81479,Wolfratshauser Str.,232,diesel|e10|e5,3,43.226,62.134,66.072,1.471,2.199,11.0,,0.0,0.0,0.0,1,,,
7358,d96604a1-0ed7-4882-a292-0ab5436914c2,PLANEGG - BAHNHOFSTR. 1,AGIP ENI,Planegg,82152,Bahnhofstr.,1,diesel|e10|e5,3,43.226,62.134,66.072,1.471,2.199,11.0,,0.0,0.0,0.0,1,,,
7361,7234f173-2ab9-4201-928f-4244b14649c0,TotalEnergies Muelheim,TotalEnergies,Muelheim,45473,Mellinghofer Str.,110,diesel|e10|e5,3,43.225,43.339,56.612,29.725,2.226,11.67,5.0,1.67,9.33,9.33,1,,,
7362,a282c4eb-2635-4f32-bacb-9a39b3eb2cd0,Brake,SCORE,Brake,26919,Breite Straße,200,diesel|e10|e5,3,43.222,1.285,56.282,72.099,2.286,12.0,1.0,13.0,14.0,15.33,1,,,
7363,f272902b-aca8-46a0-ac71-506521a206f4,AVIA XPress Automatenstation Dornhan,AVIA XPress,Dornhan,72175,Gutenbergstr.,18,diesel|e10|e5,3,43.211,34.537,41.102,53.993,2.229,13.0,2.0,7.67,11.67,11.67,1,,,
7364,605b103a-ebc9-4da9-a040-39341773cb68,TotalEnergies Dueren,TotalEnergies,Dueren,52351,Schoellerstr.,155,diesel|e10|e5,3,43.21,43.339,22.609,63.683,2.226,14.67,2.0,6.67,13.67,16.33,1,,,
7365,b47667a2-e7d6-40dc-bd0c-a45e37e7bc45,Esso Station,ESSO,Nördlingen,86720,Augsburger Str. 42,,diesel|e10|e5,3,43.203,12.036,36.481,81.094,2.246,13.33,1.0,11.67,13.33,15.33,1,,,
